beta,gamma,rho,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,s_total_rewires,s_rew_inf_ratio,s_var_degree,distance
0.1630382793760176,0.1393871123489933,0.4651643120215871,0.43,5.9990000000000006,0.2490381226659567,10.8,868.6,1.3069767441860465,14.16882,2.4465350564627872
0.4410253845229949,0.0381090608310926,0.3258405427339601,0.9,24.837999999999997,0.287446119042789,4.0,287.0,0.6544444444444444,9.244979999999998,2.3524560581300125
0.2352965869413714,0.1230222754210839,0.7841221257218176,0.284,4.687,0.1368542414270732,12.0,969.8,2.0598591549295775,18.70106,4.565490259442248
0.1185650587757718,0.1317603636151699,0.2003805363862744,0.392,5.955,0.2936788026070341,11.8,396.0,0.6581632653061225,11.33738,1.7256520151222452
0.1501797594855287,0.0530976004641806,0.6760463085019551,0.1949999999999999,5.659999999999999,0.1062698702996112,11.0,567.8,1.9128205128205131,18.6734,4.5542514379412085
0.1663179013678652,0.0514116498169538,0.1007105408036959,0.806,19.332,0.4360962773925691,7.2,157.8,0.2369727047146402,9.81626,1.7837574129890632
0.1358142561829442,0.1270912520064946,0.1637950165906841,0.519,6.735000000000001,0.3741520750514706,8.8,275.6,0.5472061657032755,9.04604,1.2378008434442955
0.0914059898560412,0.0544195892552841,0.1103966680039789,0.689,16.97,0.3799970517706866,11.4,266.8,0.2801161103047896,9.421119999999998,1.3492479412370286
0.1359990267913606,0.1615925460003964,0.4966262441626569,0.147,2.289,0.0989914171491344,6.6,558.2,2.2653061224489788,16.20794,4.304430200110833
0.3061315302021073,0.0432915246053917,0.0083307242302417,0.8930000000000001,23.214,0.3113418131927764,4.4,5.8,0.019036954087346,9.10524,2.7103089127513997
0.3053544434811489,0.0696593586550029,0.3587716773988463,0.8119999999999999,12.989,0.3824323346974582,5.0,389.2,0.8152709359605913,9.493,1.2813662424406842
0.1417707373329035,0.1699382439310174,0.0916889631727958,0.4049999999999999,4.804,0.3439688105054764,9.2,150.8,0.3382716049382716,9.54386,1.8524820244323488
0.1467636997144401,0.03576080978506,0.6918068878022596,0.35,12.905,0.112913627869956,12.0,827.4,1.6514285714285712,19.2349,4.456853910597241
0.0554473208936625,0.1486280236314592,0.1004226326237129,0.2,4.392,0.1119330679108346,21.8,293.8,0.505,10.34958,4.497947594760034
0.0524761885098546,0.1794938664751919,0.2699436038081736,0.046,0.5740000000000001,-0.0229179786687884,7.0,112.4,1.956521739130435,12.05666,4.860616148950802
