beta,gamma,rho,distance,s_peak_height,s_auc,s_growth_rate,s_time_to_peak,n_draws_attempted
0.25354219050693616,0.08311589525086012,0.46765958545803477,0.5581841226732477,0.725,11.559,0.3714045893914658,6.8,10000
0.2428873905336735,0.0934004425160073,0.5219774940202336,0.501653497676637,0.667,9.355999999999998,0.35566235134836305,7.0,10000
0.1471604133004644,0.06733556434788583,0.17066126665484643,0.5290108243916402,0.725,13.663,0.4105681380092756,7.8,10000
0.18383985617886672,0.09467267459458838,0.20169773335185265,0.5625285463950599,0.672,9.411999999999997,0.3727589027332864,6.6,10000
0.2274154744485407,0.10739854116783301,0.4829064428714023,0.46806792190110996,0.611,8.231,0.34898929922449606,8.0,10000
0.16937766888860156,0.09634159839003814,0.1908738511119739,0.29354272046476926,0.6460000000000001,9.489999999999998,0.3897903789096478,8.0,10000
0.25814875563799516,0.07387077729102938,0.5640919914791754,0.4664456937285537,0.7420000000000001,12.780999999999999,0.3887097451702485,7.8,10000
0.17901212392787808,0.10928389498218441,0.3522526983067549,0.46394353549194933,0.6060000000000001,8.213999999999999,0.39759728582470216,8.0,10000
0.1819853063352232,0.08710935787887077,0.47460714709072427,0.2487509546634781,0.642,10.665999999999999,0.34894229099294916,8.6,10000
0.1539059740333895,0.11178740217603224,0.21053235230421202,0.5977154581566073,0.561,7.948000000000002,0.34627913926845455,9.2,10000
0.24882886181862607,0.09447409689939931,0.585233399730587,0.39684643725023444,0.6749999999999999,9.738999999999997,0.3400104404811667,8.0,10000
0.2847755420596931,0.08497927293928954,0.7091511770893235,0.5840338338241352,0.6799999999999999,10.904999999999998,0.3093694704818911,8.4,10000
0.18251640769565933,0.06151509603911494,0.5119322658161732,0.5271164962449977,0.724,15.381,0.35422949937497133,9.2,10000
0.23593230075349456,0.08852634445457941,0.38655275511446474,0.5711012740722986,0.696,10.241999999999999,0.36285176464272106,6.6,10000
0.20348107049426342,0.06482987750178482,0.504773841132844,0.4587901005272215,0.7300000000000001,14.257,0.38010698748416083,8.0,10000
0.1911068265897559,0.09160811173951974,0.28869577989584255,0.47346830676213175,0.671,9.621999999999996,0.38609879289021815,7.0,10000
0.20227615415544065,0.10832752421289088,0.33157422511250756,0.4200358350593533,0.603,8.404999999999998,0.3679865945013257,8.0,10000
0.20342122091308582,0.08999501247442274,0.17777351150206294,0.5385878836388525,0.6799999999999999,10.210999999999997,0.3988053533108122,6.8,10000
0.14893510092029394,0.06188787197749794,0.21180496573801488,0.4632528127686859,0.7160000000000001,14.341999999999995,0.3969357625565691,8.0,10000
0.19238850480234324,0.08667930239188348,0.2897750558590653,0.3216805774577815,0.679,10.320999999999998,0.4049412782169658,8.2,10000
0.1977257301910392,0.07936428212276161,0.32080399064646453,0.37641362540171774,0.693,11.510999999999997,0.38667997224999345,7.4,10000
0.1948614816067161,0.10626867107178976,0.32509823936794613,0.5549947550402717,0.622,8.321000000000002,0.3617851401502544,7.0,10000
0.10749121518690359,0.06758506239019318,0.045878329796549266,0.3942933226363438,0.6449999999999999,13.383999999999997,0.4124852087047942,9.2,10000
0.16196996134447486,0.09065375495215014,0.11633561249941327,0.40271091135105236,0.6599999999999999,9.91,0.4041962477445288,7.6,10000
0.14164169122048115,0.0655663489826883,0.19964937950366865,0.4198714126145807,0.718,14.315999999999999,0.386361049030596,8.2,10000
0.19300595384226318,0.10730780196753288,0.21781649942136544,0.5249159182746591,0.646,8.509,0.40144325178165935,7.2,10000
0.1951917762843056,0.084820471651648,0.5137684657507458,0.4293906017051963,0.6380000000000001,10.746999999999996,0.32855874451360984,9.2,10000
0.2611129292997618,0.09135931357435169,0.602902912302583,0.4112084535041045,0.6940000000000001,9.639,0.36587707838392636,7.4,10000
